time,level
22-15-26,2
22-15-33,3
22-15-38,2
22-15-44,3
22-15-49,3
22-15-54,3
22-16-00,3
22-16-20,2
22-16-33,2
22-16-41,1
22-16-47,2
22-16-53,2
22-16-58,2
22-17-12,1
22-17-25,2
22-17-30,2
22-17-36,2
22-17-41,2
22-17-47,2
22-17-53,2
